,,,,,Coppa Front Bar,,Coppa Cellar,,Coppa Corridor,,Coppa Cage,,Sub Totals,,Events Front Bar,,Events Cellar,,Events Cage,,Events Back Room,,Events Pantry,,Events Blue Cupboard,,Sub Totals,,Cafe Front Bar,,Room 1,,Sub Totals,,Lobster Front Bar,,Lobster Shed,,Sub Totals,,Totals,
Stock Type,Category,Sub Category,Pack Volume,Brand ,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles
210734,Alcoholic bottles/ cans,Beer - Bottle/Can,24 x 330 ml [24],Asahi Lager - 5.00% - .,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Alcoholic bottles/ cans,Beer - Bottle/Can,8 x 330 ml [8],Aspal Cyder,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2392495,Alcoholic bottles/ cans,Beer - Bottle/Can,24 x 33 cl [24],Brixton Reliance - Pale Ale,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
5536790,Alcoholic bottles/ cans,Beer - Bottle/Can,24 x 558 ml [24],Guinness Beer - 4.2% - Microdraught,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
6822446,Alcoholic bottles/ cans,Beer - Bottle/Can,24 x 538 ml [24],Guinness Stout - 0% - Zero,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
5762971,Alcoholic bottles/ cans,Beer - Bottle/Can,24 x 330 ml [24],Peroni Lager - 0% - Nastro Azzuro,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Alcoholic bottles/ cans,Beer - Bottle/Can,24 x 330 ml [24],Peroni Lager - Gluten Free - Nastro Azzuro,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Alcoholic bottles/ cans,Beer - Bottle/Can,8 x 500 ml [8],Renegade Brewery Best Bitter - Good Old Boy - NRB,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
3967195,Alcoholic bottles/ cans,Beer & Ale,12 x 500 ml [12],BumbleBee Hard Cider 4.5%,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
210679,Alcoholic bottles/ cans,Cider - Bottle/Can,15 x 500 ml [15],Rekorderlig Swedish - Strawberry &amp; Lime Cider - 4.50% - NRB,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
6875972,Alcoholic bottles/ cans,Cider - Bottle/Can,12 x 500 ml [12],Sheppy's Cider - 200 Special Edition - 5%,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Cocktail mixes,Cocktail Mixes,1 x 15 cl [1],Fee Brothers Aztec Chocolate Bitters,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2916765,Cocktail mixes,Cocktail Mixes,6 x 1 ltr [6],Icely Done Cocktail Blend - Spiced Cranberry &amp; Clementine,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
4802900,Cocktail mixes,Cocktail Mixes,1 x 70cl [1],Monin Syrup - Strawberry,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
3117451,Cocktail mixes,Premixed Drinks,24 x 250 ml [24],Big Tom Tomato Juice,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
7213679,Cocktail mixes,Premixed Drinks,12 x 250 ml [12],Punchy Blood Orange,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
3286494,Cocktail mixes,Premixed Drinks,12 x 250 ml [12],Punchy Cucumber,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
